location_stand,banking,bike_stands,available_bike_stands,available_bikes,longitude,latitude,holiday,workingday,weather,Season,temp,humidity,windspeed,casual,registered,count,date_time
"Wolfe Tone Street, outside Alexanders bridal shop",TRUE,40,33,7,-6.267784685,53.34989648,0,1,2,1,27.06,83,36.9974,32,640,672,01-01-2020 13:00
Start of kings inn street,FALSE,30,0,30,-6.268844157,53.3519178,0,1,2,1,27.06,83,39.0007,27,266,293,01-01-2020 14:00
"Jervis street, outside McDonolds.",FALSE,30,0,30,-6.266541481,53.34864922,0,1,3,1,27.88,79,43.0006,30,130,160,01-01-2020 15:00
Camden street lower,FALSE,40,39,1,-6.26539886,53.33448808,0,1,2,1,27.88,79,43.0006,36,115,151,01-01-2020 16:00
High street,FALSE,30,30,0,-6.27489002,53.34357364,0,1,3,1,27.88,83,30.0026,16,72,88,01-01-2020 17:00
"York street, royal college of surgeons",FALSE,20,20,0,-6.263350993,53.33909021,0,1,2,1,28.7,74,39.0007,17,97,114,01-01-2020 18:00
Parnell street,FALSE,20,18,2,-6.268060952,53.34999014,0,1,3,1,24.6,94,31.0009,27,116,143,01-01-2020 19:00
Marlborough street outside eircom and kanoodle,FALSE,30,5,25,-6.259502023,53.35296244,0,1,3,1,24.6,88,16.9979,1,35,36,01-01-2020 20:00
Parnell street outside euro giant,FALSE,22,0,22,-6.266872734,53.35033197,0,1,3,1,24.6,88,19.9995,19,122,141,01-01-2020 21:00
Start of Summer hill,FALSE,38,23,15,-6.256611943,53.35440329,0,1,3,1,24.6,88,12.998,36,302,338,01-01-2020 22:00
"St. Stephens Green, outside oxfam and specsavers",TRUE,40,24,16,-6.26113683,53.34013196,0,1,2,1,24.6,88,11.0014,19,262,281,01-01-2020 23:00
Amiens street under train tracks,FALSE,40,40,0,-6.249542981,53.35221799,0,1,1,,14.76,50,22.0028,34,163,197,02-01-2020 00:00
North circular road outside carolans off licence,FALSE,40,25,15,-6.259003133,53.35921696,0,1,1,,16.4,47,19.9995,66,185,251,02-01-2020 01:00
"Dorset Street Upper, outside Ritzy Rags Shop",FALSE,20,16,4,-6.26837343,53.35274391,0,1,1,,18.04,41,22.0028,48,214,262,02-01-2020 02:00
Foley street,FALSE,30,20,10,-6.252315044,53.35165203,0,1,1,,18.86,38,19.9995,62,237,299,02-01-2020 03:00
Dorset street upper outside techno logic ,FALSE,40,38,2,-6.268642992,53.35275832,0,1,1,,18.86,38,12.998,67,207,274,02-01-2020 04:00
Parnell street outside lomdis,TRUE,20,20,0,-6.261105984,53.35264945,0,1,1,,18.86,36,15.0013,78,278,356,02-01-2020 05:00
Top of Parnell street opposite Londis,TRUE,40,33,7,-6.257088035,53.35410392,0,1,1,,18.86,38,11.0014,57,377,434,02-01-2020 06:00
"St Stephens green Luas, in front of certus",TRUE,40,40,0,-6.261493564,53.33916468,0,1,1,,17.22,44,8.9981,61,593,654,02-01-2020 07:00
Tara street,TRUE,20,1,19,-6.254994571,53.34695679,0,1,1,,17.22,44,7.0015,46,450,496,02-01-2020 08:00
Mayor street upper beside the point luas station,TRUE,40,29,11,-6.228922158,53.34845548,0,1,1,,13.94,71,6.0032,30,331,361,02-01-2020 09:00
Mountjoy square noeth,FALSE,16,16,0,-6.258693337,53.35708473,0,1,1,,14.76,66,8.9981,20,235,255,02-01-2020 10:00
"Exchequer Street, outside Fallon Byrne ",TRUE,38,23,15,-6.263477057,53.34307452,0,1,1,,13.94,76,0,23,176,199,02-01-2020 11:00
"Stephens street upper, beside IBOA House",FALSE,30,0,0,-6.267122179,53.34103437,0,1,1,,13.94,71,7.0015,17,146,163,02-01-2020 12:00
George's street great south outside Dublin business school,TRUE,16,14,2,-6.264492273,53.34339079,0,1,1,,13.12,81,6.0032,20,142,162,02-01-2020 13:00
Exchequer street,FALSE,25,0,25,-6.263179332,53.34308013,0,0,1,,13.12,76,6.0032,16,106,122,02-01-2020 14:00
Jervis street,FALSE,20,12,8,-6.266077459,53.3471065,0,0,1,,12.3,81,6.0032,8,68,76,02-01-2020 15:00
Patrick street opposite daybreak shop,TRUE,40,10,30,-6.272172779,53.34126417,0,0,1,,13.12,81,0,2,42,44,02-01-2020 16:00
Opposite 179 Church street,FALSE,29,25,4,-6.275383383,53.34595443,0,0,1,,12.3,81,0,9,11,20,02-01-2020 17:00
Baht street lower outside Larry Murphy's,TRUE,35,30,5,-6.248770505,53.33677519,0,0,1,,10.66,87,7.0015,2,4,6,02-01-2020 18:00
Maggot street lower outside bank of ireland,TRUE,40,36,4,-6.247810274,53.33588071,0,0,1,,11.48,87,0,1,9,10,02-01-2020 19:00
,TRUE,23,1,22,-6.255081743,53.34158766,0,0,1,,9.84,93,6.0032,5,11,16,02-01-2020 20:00
Westland row,FALSE,30,22,8,-6.24988094,53.34336116,0,0,1,,10.66,87,7.0015,14,57,71,02-01-2020 21:00
Pearce street,TRUE,40,23,17,-6.245094538,53.34337317,0,0,1,,13.12,76,0,16,130,146,02-01-2020 22:00
Aungier street outside DIT,FALSE,23,18,5,-6.26622498,53.33866101,0,0,1,,14.76,66,12.998,43,216,259,02-01-2020 23:00
East wall road outside the O2,TRUE,30,0,30,-6.22726053,53.34779261,0,0,1,1,9.84,81,0,3,13,16,03-01-2020 00:00
"Camden street lower, outside centra shop",TRUE,20,19,1,-6.265138686,53.33424783,0,0,1,1,9.02,80,0,8,32,40,03-01-2020 01:00
Marks lane,FALSE,33,28,5,-6.249765605,53.34494805,0,0,1,1,9.02,80,0,5,27,32,03-01-2020 02:00
"Custom House Quay, outside AIB International Centre",FALSE,40,16,24,-6.251051724,53.34851312,0,0,1,1,9.84,75,0,3,10,13,03-01-2020 03:00
Pearce street outside garden area,FALSE,40,33,7,-6.242272854,53.34296483,0,0,1,1,9.84,75,0,0,1,1,03-01-2020 04:00
"Middle abbey street, outside arnotts carpark",FALSE,20,2,18,-6.262080967,53.34817688,0,0,2,1,9.84,75,6.0032,0,1,1,03-01-2020 05:00
Foley street,TRUE,30,14,16,-6.25176385,53.35182974,0,0,1,1,9.02,80,0,2,0,2,03-01-2020 06:00
Bloomington street outside Dargans pharmacy.,TRUE,30,13,17,-6.268160194,53.35686542,0,0,1,1,8.2,86,0,1,2,3,03-01-2020 07:00
Parnell square north,FALSE,32,13,19,-6.264363527,53.35398625,0,0,1,1,9.84,75,0,1,7,8,03-01-2020 08:00
"William street south, duke street gallery.",FALSE,40,14,26,-6.262504756,53.34211451,0,0,1,1,13.12,76,0,8,6,14,03-01-2020 09:00
North king street,FALSE,30,20,10,-6.271338612,53.35055212,0,0,1,1,15.58,76,16.9979,12,24,36,03-01-2020 10:00
Maggot street lower outside Medmark healthcare ,TRUE,30,18,12,-6.245986372,53.33485887,0,0,1,1,14.76,81,19.0012,26,30,56,03-01-2020 11:00
"Cuffe street, across from O'callaghan Stephen green hotel",FALSE,40,35,5,-6.262797117,53.33769129,0,0,1,1,17.22,77,19.0012,29,55,84,03-01-2020 12:00
Parnell street outside temple hall,FALSE,20,17,3,-6.25826081,53.35392471,0,0,2,1,18.86,72,19.9995,47,47,94,03-01-2020 13:00
Parnell street outside beauty chic,TRUE,40,18,22,-6.264474839,53.3509772,0,0,2,1,18.86,72,19.0012,35,71,106,03-01-2020 14:00
"Parnell street, outside 147 deli",FALSE,30,0,30,-6.259794384,53.35342112,0,0,2,1,18.04,77,19.9995,40,70,110,03-01-2020 15:00
"Wexford street, Infront of bank of ireland",TRUE,30,6,24,-6.265522242,53.33630513,0,0,2,1,17.22,82,19.9995,41,52,93,03-01-2020 16:00
"Bottom of George's street, beside the mercantile",FALSE,40,40,0,-6.264283061,53.34393043,0,0,2,1,18.04,82,19.0012,15,52,67,03-01-2020 17:00
Fitzwilliam Place,FALSE,30,24,6,-6.252724081,53.33299531,0,0,3,1,17.22,88,16.9979,9,26,35,03-01-2020 18:00
Capel street outside AIB bank,TRUE,40,36,4,-6.268814653,53.34846989,0,0,3,1,17.22,88,16.9979,6,31,37,03-01-2020 19:00
Merrion street lower,FALSE,30,29,1,-6.250445545,53.341293,0,0,2,1,16.4,87,16.9979,11,25,36,03-01-2020 20:00
Earlsfort Terrace,TRUE,38,6,32,-6.258763075,53.33366002,0,0,2,1,16.4,87,12.998,3,31,34,03-01-2020 21:00
Abbey street lower near abbey street luas station,FALSE,30,22,7,-6.257420629,53.34867644,0,0,2,1,16.4,94,15.0013,11,17,28,03-01-2020 22:00
Amiens street under train tracks,FALSE,40,39,1,-6.249542981,53.35221799,0,0,2,1,18.86,88,19.9995,15,24,39,03-01-2020 23:00
"Parnell Street, outside Alexander's bridal shop",FALSE,27,16,11,-6.267641187,53.34997173,0,1,2,1,24.6,88,19.9995,22,302,324,04-01-2020 00:00
Merrion square North,FALSE,40,36,4,-6.250421405,53.34094069,0,1,2,1,24.6,88,12.998,19,271,290,04-01-2020 01:00
Mount street lower opposite new mount house,FALSE,30,30,0,-6.243741363,53.33881395,0,1,2,1,24.6,88,12.998,21,186,207,04-01-2020 02:00
"Harcourt road, in front of regius building",FALSE,40,40,0,-6.263815016,53.33274144,0,1,3,1,23.78,83,31.0009,14,137,151,04-01-2020 03:00
Mercer street outside DCC,TRUE,30,25,5,-6.264456064,53.33893887,0,1,2,1,22.96,83,15.0013,11,67,78,04-01-2020 04:00
Marlborough street outside admiral restraunt,FALSE,20,14,6,-6.259013861,53.352234,0,1,2,1,22.96,68,19.0012,3,23,26,04-01-2020 05:00
Eden Quay ooutside Liberty Hall,TRUE,40,1,39,-6.255112588,53.34845308,0,1,2,1,22.14,68,16.9979,0,12,12,04-01-2020 06:00
Talbot Street outside Singer shop,FALSE,40,6,34,-6.254687458,53.35073224,0,1,2,1,22.14,64,22.0028,0,3,3,04-01-2020 07:00
"York street, across from Dublinbike station",FALSE,36,23,13,-6.262134612,53.33883157,0,1,2,1,21.32,63,16.9979,1,4,5,04-01-2020 08:00
Johnstons place outside pearls shop,TRUE,40,40,0,-6.263308078,53.34064683,0,1,2,1,21.32,68,23.9994,0,10,10,04-01-2020 09:00
"Camden street lower, outside cracker nut cafe",FALSE,40,0,40,-6.26537472,53.33501182,0,1,2,1,21.32,68,19.0012,2,54,56,04-01-2020 10:00
Blessignton street outside La Pausa cafe,FALSE,20,11,9,-6.265439093,53.35618587,0,1,1,1,21.32,63,16.9979,6,166,172,04-01-2020 11:00
North circular road and belvidire road junction,FALSE,40,0,40,-6.259095669,53.35946908,0,1,1,1,21.32,63,15.0013,16,529,545,04-01-2020 12:00
"Camden street lower, across from Fontana cafe",FALSE,40,18,22,-6.265355945,53.3351824,0,1,1,1,21.32,59,15.0013,39,758,797,04-01-2020 13:00
Parnell square west,FALSE,20,4,16,-6.265075654,53.35358842,0,1,1,1,22.14,60,16.9979,26,336,362,04-01-2020 14:00
Merrion street lower island,FALSE,30,24,6,-6.250158548,53.34184388,0,1,1,1,22.96,52,12.998,23,169,192,04-01-2020 15:00
Hatch street lower,FALSE,40,4,36,-6.256172061,53.3341197,0,1,1,1,24.6,43,16.9979,44,203,247,04-01-2020 16:00
Capel street outside capel kebab and pizza house,TRUE,20,8,12,-6.268229932,53.34716815,0,1,1,1,24.6,43,16.9979,53,260,313,04-01-2020 17:00
Jervis street opposite TP Smiths,TRUE,40,28,12,-6.266204864,53.34744836,0,1,1,1,24.6,40,16.9979,55,234,289,04-01-2020 18:00
Aaran quay outside bank of Ireland,TRUE,40,0,40,-6.27913177,53.34645482,0,1,1,1,25.42,38,16.9979,59,227,286,04-01-2020 19:00
Grattan bridge ,TRUE,20,18,2,-6.267873198,53.34572226,0,1,1,1,25.42,35,0,57,254,311,04-01-2020 20:00
Parliament Street across from florentina restaurant,TRUE,40,37,3,-6.267226785,53.34433076,0,1,1,1,25.42,35,0,69,397,466,04-01-2020 21:00
"Parliament street, outside subway ",FALSE,16,8,8,-6.267397106,53.34442924,0,1,1,1,24.6,38,15.0013,74,812,886,04-01-2020 22:00
Burgh quay,TRUE,38,8,30,-6.257717013,53.34716014,0,1,1,1,23.78,40,19.0012,85,807,892,04-01-2020 23:00
Capel street outside Dublin College of Advanced Studies,FALSE,40,25,15,-6.269459724,53.35013744,0,0,1,,16.4,58,0,86,264,350,05-01-2020 00:00
Kings Inn Street,FALSE,20,16,4,-6.268934011,53.35202907,0,0,1,,16.4,58,7.0015,143,323,466,05-01-2020 01:00
top of Parnell street,FALSE,20,15,5,-6.257198006,53.35419437,0,0,1,,19.68,48,0,258,348,606,05-01-2020 02:00
"Parnell Street, outside Burger King",TRUE,21,21,0,-6.264808774,53.3508299,0,0,1,,21.32,39,0,268,383,651,05-01-2020 03:00
Mary street outside Mary Mall,TRUE,29,29,0,-6.267952323,53.348618,0,0,1,,22.14,37,0,280,347,627,05-01-2020 04:00
Berkeley road outside Flanagans pharmacy,FALSE,40,40,0,-6.269868761,53.35896725,0,0,1,,21.32,45,0,216,351,567,05-01-2020 05:00
Mayor street lower outside AIB,FALSE,30,27,3,-6.24368906,53.34900307,0,0,1,,22.14,37,0,227,378,605,05-01-2020 06:00
George's Dock across the road from KPMG,TRUE,20,19,1,-6.24969855,53.34960348,0,0,1,,20.5,45,12.998,183,318,501,05-01-2020 07:00
Suffolk street,FALSE,40,31,9,-6.260666102,53.34371105,0,0,1,,18.04,54,8.9981,103,256,359,05-01-2020 08:00
,FALSE,40,7,33,-6.261174381,53.3400639,0,0,1,,18.86,51,6.0032,55,228,283,05-01-2020 09:00
Westmoreland street,FALSE,30,23,7,-6.249374002,53.34383275,0,0,1,,18.04,54,0,39,153,192,05-01-2020 10:00
Pearce street,FALSE,30,27,3,-6.255238652,53.34522827,0,0,1,,16.4,66,0,51,169,220,05-01-2020 11:00
"Wolfe Tone Street, outside Alexanders bridal shop",TRUE,30,3,27,-6.267784685,53.34989648,0,0,1,,15.58,71,6.0032,39,154,193,05-01-2020 12:00
Start of kings inn street,TRUE,20,19,1,-6.268844157,53.3519178,0,0,1,,14.76,71,7.0015,26,120,146,05-01-2020 13:00
"Jervis street, outside McDonolds.",FALSE,33,33,0,-6.266541481,53.34864922,0,0,1,,13.94,81,6.0032,14,110,124,05-01-2020 14:00
Camden street lower,FALSE,40,36,4,-6.26539886,53.33448808,0,0,1,,13.94,76,6.0032,26,82,108,05-01-2020 15:00
High street,FALSE,40,39,1,-6.27489002,53.34357364,0,0,1,,13.12,87,7.0015,12,58,70,05-01-2020 16:00
"York street, royal college of surgeons",FALSE,20,19,1,-6.263350993,53.33909021,0,0,1,,13.94,81,0,9,39,48,05-01-2020 17:00
Parnell street,TRUE,30,23,7,-6.268060952,53.34999014,0,0,1,,13.12,81,7.0015,5,6,11,05-01-2020 18:00
Marlborough street outside eircom and kanoodle,TRUE,30,0,30,-6.259502023,53.35296244,0,0,1,,12.3,87,8.9981,0,12,12,05-01-2020 19:00
Parnell street outside euro giant,FALSE,32,7,25,-6.266872734,53.35033197,0,0,1,,12.3,87,6.0032,3,16,19,05-01-2020 20:00
Start of Summer hill,FALSE,40,7,33,-6.256611943,53.35440329,0,0,1,,12.3,89,6.0032,12,56,68,05-01-2020 21:00
"St. Stephens Green, outside oxfam and specsavers",FALSE,30,28,2,-6.26113683,53.34013196,0,0,1,,13.12,87,7.0015,32,87,119,05-01-2020 22:00
"Parnell Street, outside Alexander's bridal shop",TRUE,30,14,16,-6.267641187,53.34997173,0,0,1,,14.76,77,0,94,179,273,05-01-2020 23:00
North circular road outside carolans off licence,FALSE,30,27,3,-6.259003133,53.35921696,0,0,2,1,18.86,88,19.9995,4,13,17,06-01-2020 00:00
"Dorset Street Upper, outside Ritzy Rags Shop",FALSE,20,8,12,-6.26837343,53.35274391,0,0,2,1,18.04,94,16.9979,1,16,17,06-01-2020 01:00
Foley street,FALSE,30,2,28,-6.252315044,53.35165203,0,0,2,1,17.22,100,19.0012,1,8,9,06-01-2020 02:00
Dorset street upper outside techno logic ,TRUE,40,38,2,-6.268642992,53.35275832,0,0,2,1,18.86,94,12.998,2,4,6,06-01-2020 03:00
Parnell street outside lomdis,FALSE,31,18,13,-6.261105984,53.35264945,0,0,2,1,18.86,94,12.998,2,1,3,06-01-2020 04:00
Top of Parnell street opposite Londis,FALSE,35,35,0,-6.257088035,53.35410392,0,0,3,1,17.22,77,19.9995,0,2,2,06-01-2020 05:00
"St Stephens green Luas, in front of certus",TRUE,40,40,0,-6.261493564,53.33916468,0,0,2,1,16.4,76,12.998,0,1,1,06-01-2020 06:00
Tara street,FALSE,30,6,24,-6.254994571,53.34695679,0,0,3,1,16.4,71,15.0013,0,8,8,06-01-2020 07:00
Mayor street upper beside the point luas station,FALSE,30,28,2,-6.228922158,53.34845548,0,0,2,1,15.58,76,15.0013,1,19,20,06-01-2020 08:00
Mountjoy square noeth,FALSE,24,3,21,-6.258693337,53.35708473,0,0,2,1,14.76,81,15.0013,7,46,53,06-01-2020 09:00
"Exchequer Street, outside Fallon Byrne ",FALSE,40,13,27,-6.263477057,53.34307452,0,0,2,1,14.76,71,16.9979,16,54,70,06-01-2020 10:00
"Stephens street upper, beside IBOA House",FALSE,36,33,3,-6.267122179,53.34103437,0,0,2,1,14.76,66,19.9995,20,73,93,06-01-2020 11:00
George's street great south outside Dublin business school,FALSE,40,31,9,-6.264492273,53.34339079,0,0,2,1,14.76,66,8.9981,11,64,75,06-01-2020 12:00
Exchequer street,FALSE,40,29,11,-6.263179332,53.34308013,0,0,3,1,14.76,76,12.998,4,55,59,06-01-2020 13:00
Jervis street,TRUE,40,38,2,-6.266077459,53.3471065,0,0,3,1,13.94,81,11.0014,19,55,74,06-01-2020 14:00
Patrick street opposite daybreak shop,TRUE,25,8,17,-6.272172779,53.34126417,0,0,3,1,13.94,71,11.0014,9,67,76,06-01-2020 15:00
Opposite 179 Church street,FALSE,29,15,14,-6.275383383,53.34595443,0,0,1,1,13.94,57,12.998,7,58,65,06-01-2020 16:00
Baht street lower outside Larry Murphy's,FALSE,30,28,2,-6.248770505,53.33677519,0,0,2,1,14.76,46,22.0028,10,43,53,06-01-2020 17:00
Maggot street lower outside bank of ireland,FALSE,20,0,20,-6.247810274,53.33588071,0,0,1,1,13.12,42,30.0026,1,29,30,06-01-2020 18:00
,FALSE,40,37,3,-6.255081743,53.34158766,0,0,1,1,12.3,39,23.9994,5,17,22,06-01-2020 19:00
Westland row,FALSE,30,20,10,-6.24988094,53.34336116,0,0,1,1,10.66,44,22.0028,11,20,31,06-01-2020 20:00
Pearce street,TRUE,29,19,10,-6.245094538,53.34337317,0,0,1,1,9.84,44,19.9995,0,9,9,06-01-2020 21:00
Aungier street outside DIT,FALSE,30,8,17,-6.26622498,53.33866101,0,0,1,1,9.02,47,11.0014,0,8,8,06-01-2020 22:00
Capel street outside Dublin College of Advanced Studies,FALSE,40,37,3,-6.269459724,53.35013744,0,1,1,1,9.02,44,23.9994,0,5,5,06-01-2020 23:00
Fatima luas stop,FALSE,30,0,0,-6.292895526,53.33847123,0,1,1,1,22.96,43,15.0013,72,539,611,07-01-2020 00:00
Phoenix street north,TRUE,16,14,2,-6.277207285,53.34695199,0,1,1,1,21.32,48,11.0014,31,378,409,07-01-2020 01:00
Merrion square east,FALSE,25,0,25,-6.246668994,53.33943693,0,1,1,1,20.5,59,11.0014,25,324,349,07-01-2020 02:00
North kings street,FALSE,20,17,3,-6.270769984,53.35073624,0,1,1,1,20.5,63,6.0032,31,198,229,07-01-2020 03:00
North kings streetboutside macro,TRUE,40,9,31,-6.270670742,53.35059775,0,1,1,1,19.68,67,6.0032,17,106,123,07-01-2020 04:00
Fitzwilliam street lower,FALSE,29,1,28,-6.248680651,53.33709791,0,1,1,1,18.86,72,7.0015,6,39,45,07-01-2020 05:00
Phisborough road opposite mc donalds,TRUE,35,0,35,-6.272837967,53.36211259,0,1,1,1,18.04,77,6.0032,5,13,18,07-01-2020 06:00
Middle abbey street ,TRUE,40,22,18,-6.262333095,53.34814966,0,1,1,1,18.86,72,0,6,6,12,07-01-2020 07:00
Middle abbey street outside hidden hearing.,TRUE,23,23,0,-6.262656301,53.34799275,0,1,1,1,18.04,77,0,1,6,7,07-01-2020 08:00
"Middle abbey street, outside celebration party shop.",FALSE,30,0,30,-6.260793507,53.3481929,0,1,1,1,17.22,82,7.0015,0,10,10,07-01-2020 09:00
St Stephen's green North,TRUE,40,40,0,-6.256654859,53.33898211,0,1,1,1,18.04,77,0,2,34,36,07-01-2020 10:00
,FALSE,23,23,0,-6.255034804,53.34144673,0,1,1,1,18.04,77,7.0015,8,147,155,07-01-2020 11:00
Sack like place,FALSE,40,22,18,-6.258557886,53.34909033,0,1,1,1,18.04,77,11.0014,13,470,483,07-01-2020 12:00
Goldsworthy street outside Foxx Coffee House,FALSE,20,20,0,-6.257915497,53.34132102,0,1,2,1,18.86,77,7.0015,40,744,784,07-01-2020 13:00
Lincoln Place,FALSE,20,2,17,-6.252296269,53.34185349,0,1,2,1,21.32,63,0,26,314,340,07-01-2020 14:00
Mount street upper,TRUE,21,20,1,-6.244401187,53.33711313,0,1,1,1,22.14,56,0,44,135,179,07-01-2020 15:00
Mount street lower opposite howl at the moon club,TRUE,29,29,0,-6.245165616,53.33927038,0,1,1,1,23.78,46,0,76,196,272,07-01-2020 16:00
Georges Quay,FALSE,40,35,5,-6.253649443,53.34738591,0,1,2,1,24.6,43,11.0014,61,262,323,07-01-2020 17:00
Grand canal docks,FALSE,30,0,30,-6.238718927,53.34301848,0,1,2,1,24.6,43,11.0014,80,225,305,07-01-2020 18:00
Grand canal docks outside fresh,TRUE,20,17,3,-6.238583475,53.34339239,0,1,2,1,24.6,43,7.0015,51,193,244,07-01-2020 19:00
Blood stone road,FALSE,40,0,40,-6.236217767,53.34491682,0,1,2,1,25.42,43,8.9981,95,234,329,07-01-2020 20:00
"Both wall quay, opposite the Spenser. ",FALSE,40,0,40,-6.24309361,53.3476477,0,1,2,1,25.42,46,16.9979,51,408,459,07-01-2020 21:00
Sir john Robertson quay,FALSE,30,30,0,-6.2415272,53.34621063,0,1,3,1,22.96,60,16.9979,65,791,856,07-01-2020 22:00
Start of Leinster street south,FALSE,30,0,30,-6.252639592,53.3417502,0,1,3,1,22.96,64,7.0015,42,571,613,07-01-2020 23:00
Merrion square North,FALSE,40,22,18,-6.250421405,53.34094069,0,0,1,,16.4,69,7.0015,133,272,405,08-01-2020 00:00
Mount street lower opposite new mount house,FALSE,20,14,6,-6.243741363,53.33881395,0,0,1,,18.86,59,8.9981,180,324,504,08-01-2020 01:00
"Harcourt road, in front of regius building",TRUE,40,31,9,-6.263815016,53.33274144,0,0,1,,20.5,48,6.0032,195,390,585,08-01-2020 02:00
Mercer street outside DCC,FALSE,30,0,30,-6.264456064,53.33893887,0,0,1,,22.14,45,7.0015,262,424,686,08-01-2020 03:00
Marlborough street outside admiral restraunt,TRUE,30,0,30,-6.259013861,53.352234,0,0,1,,24.6,33,11.0014,292,362,654,08-01-2020 04:00
Eden Quay ooutside Liberty Hall,FALSE,40,38,2,-6.255112588,53.34845308,0,0,1,,22.96,37,15.0013,304,420,724,08-01-2020 05:00
Talbot Street outside Singer shop,FALSE,30,3,27,-6.254687458,53.35073224,0,0,1,,22.14,42,15.0013,260,393,653,08-01-2020 06:00
"York street, across from Dublinbike station",TRUE,40,40,0,-6.262134612,53.33883157,0,0,1,,22.14,45,11.0014,151,342,493,08-01-2020 07:00
Johnstons place outside pearls shop,FALSE,30,26,4,-6.263308078,53.34064683,0,0,1,,21.32,45,8.9981,102,303,405,08-01-2020 08:00
"Camden street lower, outside cracker nut cafe",TRUE,38,27,11,-6.26537472,53.33501182,0,0,1,,19.68,55,8.9981,69,208,277,08-01-2020 09:00
Blessignton street outside La Pausa cafe,FALSE,30,22,8,-6.265439093,53.35618587,0,0,1,,18.04,62,11.0014,54,146,200,08-01-2020 10:00
North circular road and belvidire road junction,FALSE,40,40,0,-6.259095669,53.35946908,0,0,1,,18.04,67,15.0013,44,127,171,08-01-2020 11:00
"Camden street lower, across from Fontana cafe",FALSE,30,12,18,-6.265355945,53.3351824,0,0,1,,17.22,71,12.998,21,113,134,08-01-2020 12:00
Parnell square west,FALSE,20,18,2,-6.265075654,53.35358842,0,0,1,,17.22,71,12.998,16,93,109,08-01-2020 13:00
Merrion street lower island,FALSE,30,19,11,-6.250158548,53.34184388,1,0,1,,17.22,71,7.0015,6,43,49,08-01-2020 14:00
Hatch street lower,TRUE,40,40,0,-6.256172061,53.3341197,1,0,1,,16.4,76,11.0014,4,26,30,08-01-2020 15:00
Capel street outside capel kebab and pizza house,FALSE,31,28,3,-6.268229932,53.34716815,1,0,1,,16.4,76,8.9981,6,14,20,08-01-2020 16:00
Jervis street opposite TP Smiths,FALSE,35,21,14,-6.266204864,53.34744836,1,0,1,,16.4,76,8.9981,1,3,4,08-01-2020 17:00
Aaran quay outside bank of Ireland,TRUE,40,38,2,-6.27913177,53.34645482,1,0,1,,16.4,76,6.0032,1,3,4,08-01-2020 18:00
Grattan bridge ,FALSE,30,6,24,-6.267873198,53.34572226,1,0,1,,15.58,87,0,1,23,24,08-01-2020 19:00
Parliament Street across from florentina restaurant,FALSE,30,8,22,-6.267226785,53.34433076,1,0,1,,15.58,87,7.0015,7,64,71,08-01-2020 20:00
"Parliament street, outside subway ",FALSE,24,11,13,-6.267397106,53.34442924,1,0,1,,16.4,87,0,16,248,264,08-01-2020 21:00
Burgh quay,FALSE,40,30,10,-6.257717013,53.34716014,1,0,1,,17.22,82,11.0014,50,490,540,08-01-2020 22:00
Fatima luas stop,FALSE,36,36,0,-6.292895526,53.33847123,1,0,1,,18.04,88,7.0015,60,337,397,08-01-2020 23:00
Kings Inn Street,FALSE,40,6,34,-6.268934011,53.35202907,0,1,1,1,8.2,44,27.9993,0,2,2,09-01-2020 00:00
top of Parnell street,FALSE,40,40,0,-6.257198006,53.35419437,0,1,1,1,6.56,47,26.0027,0,1,1,09-01-2020 01:00
